pet_id,Type,Age,Gender,Vaccinated,Spayed/Neutered,AdoptionStory,Extracted_Temperaments
183,0,Kitten,Male,Yes,Yes,adopted,playful
184,0,Adult,Male,No,Yes,rescued,"friendly, affectionate, obedient, docile"
185,0,Kitten,Female,No,No,rescued,"active, playful"
186,1,Puppy,Female,Yes,No,rescued,easy
187,0,Kitten,Male,Not Sure,Not Sure,adopted,friendly
188,1,Puppy,Female,No,No,rescued,energetic
189,1,Adult,Female,No,No,rescued,"protective, sweet, fast, gentle"
190,0,Kitten,Female,Not Sure,No,adopted,"cute, soft, affectionate, playful"
191,1,Puppy,Female,No,No,rescued,warm
192,0,Kitten,Male,No,No,adopted,playful
193,0,Kitten,Male,Not Sure,Not Sure,adopted,friendly
194,0,Kitten,Male,Yes,No,rescued,"cute, active"
195,1,Adult,Female,Yes,Yes,adopted,friendly
196,0,Kitten,Female,No,No,adopted,active
197,1,Puppy,Male,Yes,Yes,adopted,playful
198,1,Puppy,Female,Yes,No,adopted,"cute, cute"
199,0,Kitten,Male,No,No,adopted,"active, easy"
200,1,Puppy,Female,Yes,Yes,rescued,"gentle, gentle, gentle, easy, loyal, affectionate, gentle, friendly, friendly, docile"
201,1,Puppy,Male,Yes,No,rescued,"obedient, smart"
202,1,Puppy,Male,Not Sure,Not Sure,adopted,cute
203,0,Kitten,Male,No,No,rescued,"active, independent"
204,0,Kitten,Female,Yes,Yes,adopted,"warm, active"
205,1,Adult,Male,Yes,Yes,rescued,friendly
206,0,Adult,Male,Yes,No,adopted,active
207,1,Adult,Female,Yes,No,adopted,"smart, friendly"
208,1,Adult,Female,Yes,Yes,rescued,"playful, cute, active"
209,0,Kitten,Male,No,No,rescued,"playful, cute"
210,0,Adult,Male,Yes,Not Sure,rescued,"loving, sweet"
211,1,Puppy,Male,No,No,adopted,obedient
212,1,Puppy,Female,No,No,adopted,cute
213,0,Adult,Male,Yes,Yes,adopted,friendly
214,1,Adult,Male,Not Sure,Not Sure,adopted,"playful, active"
215,1,Adult,Female,Not Sure,Not Sure,rescued,loving
216,0,Kitten,Male,Not Sure,Not Sure,adopted,"cute, loving"
217,1,Adult,Female,Yes,Not Sure,rescued,"friendly, gentle"
218,0,Kitten,Female,No,No,adopted,"sweet, friendly, loving"
219,1,Puppy,Male,Yes,No,adopted,friendly
220,0,Kitten,Female,No,No,adopted,friendly
221,1,Puppy,Female,Yes,No,adopted,"soft, sweet"
222,1,Puppy,Female,Not Sure,No,rescued,"playful, cute"
223,1,Adult,Female,Not Sure,Not Sure,adopted,sweet
224,1,Adult,Female,Not Sure,No,rescued,cute
225,1,Puppy,Female,No,No,adopted,protective
226,0,Kitten,Male,No,No,adopted,soft
227,1,Adult,Male,Yes,Yes,rescued,"playful, loving"
228,0,Kitten,Male,Not Sure,Not Sure,adopted,"cute, friendly"
229,1,Puppy,Male,Yes,No,adopted,smart
230,1,Adult,Male,Yes,Yes,adopted,"obedient, smart"
231,1,Puppy,Female,Not Sure,No,adopted,friendly
232,0,Kitten,Male,Yes,Yes,rescued,"sweet, loving"
233,1,Puppy,Male,Not Sure,Not Sure,rescued,friendly
234,0,Adult,Male,Yes,Yes,adopted,friendly
235,1,Puppy,Male,No,Not Sure,adopted,cute
236,0,Kitten,Male,No,No,adopted,"active, playful"
237,1,Adult,Male,Yes,Yes,adopted,"sweet, playful, warm, friendly"
238,0,Kitten,Female,No,No,adopted,"cute, active, fast"
239,1,Puppy,Female,No,Not Sure,adopted,friendly
240,1,Puppy,Female,Yes,No,rescued,cute
241,0,Adult,Male,Yes,Yes,rescued,tender
242,1,Puppy,Male,Yes,Yes,rescued,friendly
243,0,Adult,Female,Not Sure,Yes,rescued,"gentle, friendly"
244,0,Kitten,Female,Not Sure,Not Sure,adopted,"gentle, loving"
245,0,Kitten,Male,No,No,adopted,cute
246,1,Puppy,Male,No,No,rescued,loving
247,1,Puppy,Female,Yes,No,rescued,active
248,1,Puppy,Male,Yes,Yes,adopted,"energetic, friendly, playful"
249,0,Kitten,Female,No,No,rescued,"active, active, playful, soft, active, playful"
250,0,Kitten,Male,No,No,rescued,friendly
251,1,Adult,Male,Yes,Yes,rescued,"friendly, active"
252,1,Puppy,Female,Yes,No,rescued,gentle
253,0,Kitten,Female,No,No,adopted,active
254,1,Adult,Male,Yes,Yes,rescued,loving
255,0,Kitten,Male,No,No,adopted,active
256,0,Kitten,Male,Yes,No,adopted,playful
257,0,Kitten,Female,Yes,Yes,adopted,friendly
258,1,Puppy,Female,Yes,Yes,adopted,"loving, cute"
259,1,Adult,Female,Not Sure,Yes,adopted,"loving, loving, loving"
260,1,Puppy,Male,Yes,No,adopted,friendly
261,1,Adult,Female,Not Sure,Not Sure,rescued,"friendly, independent, loving"
262,0,Adult,Male,No,Yes,adopted,"obedient, main"
263,0,Kitten,Female,Not Sure,Not Sure,rescued,"friendly, gentle"
264,1,Puppy,Male,Yes,Yes,adopted,"affectionate, friendly, loving"
265,0,Kitten,Male,Yes,No,adopted,"active, cute"
266,0,Adult,Male,No,Yes,adopted,"active, friendly"
267,1,Adult,Male,No,No,rescued,playful
268,1,Puppy,Female,No,No,adopted,cute
269,1,Adult,Male,Yes,No,adopted,playful
270,1,Puppy,Male,No,No,adopted,"active, playful"
271,0,Kitten,Female,No,No,rescued,affectionate
272,0,Adult,Female,Yes,Yes,rescued,"gentle, loving"
273,1,Adult,Female,Yes,Yes,adopted,sweet
274,0,Kitten,Female,No,No,rescued,"cute, soft, active, playful"
275,0,Kitten,Female,No,No,adopted,"cute, friendly"
276,0,Kitten,Male,No,No,adopted,loving
277,1,Puppy,Male,No,No,rescued,main
278,1,Senior,Female,Yes,Yes,adopted,friendly
279,0,Adult,Male,Not Sure,Not Sure,rescued,cute
280,1,Puppy,Female,No,No,rescued,soft
281,0,Kitten,Male,No,No,adopted,playful
282,0,Kitten,Female,Yes,No,adopted,"cute, playful"
283,0,Kitten,Male,No,No,rescued,loving
284,1,Puppy,Male,Yes,No,adopted,"active, obedient"
285,1,Adult,Male,Yes,Yes,adopted,firm
286,1,Puppy,Female,No,Yes,adopted,"warm, obedient"
287,0,Kitten,Male,No,No,rescued,gentle
288,1,Adult,Female,Yes,Yes,adopted,active
289,0,Kitten,Male,Yes,No,adopted,cute
290,0,Kitten,Female,No,No,adopted,gentle
291,0,Kitten,Male,Yes,No,adopted,fond
292,1,Puppy,Female,Yes,No,rescued,"sweet, loyal"
293,1,Puppy,Female,No,No,adopted,"active, playful, loving"
294,1,Puppy,Male,Not Sure,No,adopted,sweet
295,0,Kitten,Female,No,No,adopted,loving
296,0,Kitten,Male,No,No,adopted,playful
297,1,Puppy,Male,No,Not Sure,adopted,loving
298,1,Adult,Male,Yes,No,adopted,playful
299,0,Kitten,Female,Not Sure,Not Sure,adopted,curious
300,1,Puppy,Female,Yes,No,adopted,"smart, obedient"
301,0,Adult,Female,Yes,Yes,rescued,"calm, playful"
302,1,Puppy,Male,No,No,adopted,loving
303,1,Puppy,Male,Not Sure,Not Sure,rescued,active
304,0,Kitten,Female,No,No,adopted,playful
305,1,Puppy,Female,Not Sure,Not Sure,adopted,"cute, independent, cute"
306,1,Adult,Male,Yes,Yes,adopted,"sweet, loving"
307,0,Kitten,Female,No,No,rescued,"sweet, calm"
308,1,Puppy,Female,Not Sure,Not Sure,adopted,friendly
309,1,Adult,Male,Not Sure,Yes,adopted,sweet
310,1,Puppy,Male,Yes,No,rescued,cute
311,1,Puppy,Female,Not Sure,No,rescued,"soft, loving"
312,0,Kitten,Male,Not Sure,Not Sure,adopted,main
313,0,Kitten,Male,No,No,adopted,"curious, playful"
314,1,Puppy,Female,Yes,No,adopted,fast
315,0,Adult,Female,Yes,Yes,rescued,friendly
316,0,Kitten,Female,Yes,No,adopted,"playful, active"
317,1,Puppy,Male,No,No,adopted,cute
318,1,Adult,Female,Yes,Yes,rescued,"active, smart, loving, loving"
319,0,Adult,Male,No,Yes,adopted,fast
320,1,Adult,Female,Yes,No,adopted,active
321,1,Puppy,Male,No,No,adopted,playful
322,1,Adult,Male,Yes,No,rescued,"active, friendly, loving"
323,1,Adult,Male,Yes,No,adopted,smart
324,0,Adult,Male,Yes,Yes,adopted,"smart, loving"
325,1,Adult,Female,No,No,adopted,"friendly, sweet, energetic, friendly"
326,0,Kitten,Female,Yes,Yes,rescued,"active, playful"
327,0,Kitten,Male,No,No,adopted,playful
328,1,Adult,Female,Yes,Yes,adopted,"loving, friendly, loyal"
329,0,Kitten,Female,No,No,adopted,"affectionate, playful"
330,0,Kitten,Female,No,No,adopted,cute
331,1,Adult,Female,Yes,Yes,adopted,loyal
332,1,Puppy,Female,No,No,adopted,"sweet, playful"
333,1,Adult,Male,No,No,adopted,friendly
334,1,Puppy,Female,Yes,No,rescued,loving
335,1,Puppy,Male,Yes,No,rescued,"gentle, gentle, soft"
336,0,Kitten,Male,Yes,No,adopted,"cute, playful"
337,0,Kitten,Male,No,No,rescued,playful
338,1,Puppy,Male,No,No,adopted,loving
339,0,Kitten,Female,No,Yes,adopted,"playful, friendly, easy"
340,0,Kitten,Female,No,No,rescued,"cute, active, playful"
341,0,Kitten,Male,No,No,adopted,"cute, independent"
342,0,Kitten,Female,Not Sure,Not Sure,rescued,cute
343,0,Kitten,Female,No,No,adopted,sweet
344,1,Adult,Male,Yes,No,rescued,friendly
345,1,Puppy,Male,Yes,No,adopted,active
346,0,Kitten,Male,No,No,adopted,cute
347,1,Adult,Male,Not Sure,Not Sure,adopted,"gentle, sweet"
348,1,Adult,Female,Yes,No,adopted,"active, friendly"
349,1,Puppy,Male,No,No,adopted,smart
350,0,Adult,Female,Yes,Not Sure,adopted,cute
351,0,Kitten,Female,Not Sure,No,adopted,"easy, independent"
352,1,Adult,Female,Yes,Yes,adopted,main
353,1,Puppy,Male,Yes,Not Sure,adopted,energetic
354,1,Puppy,Male,No,No,rescued,"cute, active"
355,1,Puppy,Female,Not Sure,No,adopted,playful
356,1,Puppy,Female,No,No,rescued,"loyal, warm, sweet, loving"
357,0,Kitten,Male,No,No,rescued,"playful, calm"
358,1,Adult,Male,Yes,Yes,adopted,"affectionate, calm"
359,1,Puppy,Female,No,No,rescued,"smart, obedient"
360,0,Kitten,Female,No,No,adopted,"precious, playful, precious"
361,1,Puppy,Male,No,No,adopted,playful
362,1,Adult,Male,No,Yes,rescued,"loving, easy"
363,1,Adult,Male,Not Sure,Not Sure,adopted,"active, playful"
364,1,Puppy,Female,Yes,Not Sure,rescued,playful
365,1,Adult,Female,Yes,Yes,adopted,playful
366,1,Adult,Male,Yes,Yes,adopted,"active, loving, friendly"
367,0,Kitten,Female,Yes,Yes,rescued,"active, loving"
368,0,Kitten,Male,No,No,rescued,smart
369,0,Adult,Male,Yes,Yes,adopted,active
370,1,Adult,Male,Yes,Yes,adopted,"playful, loving"
371,1,Adult,Male,Not Sure,No,adopted,"friendly, obedient"
372,0,Kitten,Female,Yes,Yes,adopted,"friendly, loving, funny, loving, loving, friendly"
373,1,Puppy,Female,Yes,Yes,adopted,sweet
374,1,Puppy,Female,Yes,No,rescued,"active, smart"
375,0,Kitten,Female,No,No,adopted,"active, playful"
376,0,Kitten,Female,No,No,adopted,sweet
377,0,Kitten,Male,No,No,adopted,active
378,1,Puppy,Female,Yes,Yes,rescued,playful
379,0,Kitten,Male,No,No,rescued,"cute, soft, cute"
380,1,Puppy,Male,No,No,adopted,loving
381,0,Kitten,Female,No,No,rescued,smart
382,1,Puppy,Female,Yes,No,adopted,energetic
383,0,Adult,Male,Yes,Yes,adopted,"independent, loving"
384,0,Kitten,Female,No,No,adopted,cute
385,1,Puppy,Female,No,No,rescued,"friendly, main"
386,1,Adult,Male,Yes,Yes,adopted,"playful, energetic, smart"
387,0,Kitten,Female,No,No,adopted,cute
388,0,Kitten,Male,No,No,adopted,playful
389,1,Adult,Male,Yes,No,adopted,"active, loyal"
390,0,Kitten,Female,Yes,No,rescued,playful
391,1,Puppy,Female,Yes,Yes,adopted,"loving, cute"
392,1,Puppy,Female,Yes,No,adopted,"active, playful, gentle, sweet, fast"
393,1,Adult,Male,Not Sure,No,adopted,gentle
394,1,Adult,Male,Yes,No,adopted,"active, active"
395,0,Adult,Male,Yes,Yes,adopted,"bright, loyal"
396,1,Adult,Male,Yes,Yes,adopted,"loving, affectionate"
397,1,Puppy,Female,Yes,No,adopted,"cute, tender"
398,0,Kitten,Female,Not Sure,No,adopted,"playful, affectionate"
399,0,Kitten,Female,No,No,adopted,sweet
400,1,Puppy,Male,Yes,Yes,adopted,active
401,0,Adult,Female,Yes,Yes,rescued,"fresh, precious"
402,1,Puppy,Male,Yes,Yes,adopted,playful
403,1,Puppy,Female,No,No,rescued,friendly
404,0,Kitten,Female,Yes,Yes,rescued,"gentle, cute, soft, fresh"
405,0,Kitten,Male,Yes,No,adopted,"calm, playful"
406,1,Puppy,Male,No,No,rescued,warm
407,1,Puppy,Male,Yes,Not Sure,adopted,"active, friendly, playful"
408,1,Puppy,Male,Yes,Yes,adopted,active
409,1,Puppy,Female,Yes,No,rescued,loving
410,1,Puppy,Female,Yes,No,adopted,cute
411,0,Kitten,Male,No,No,adopted,friendly
412,1,Puppy,Male,No,Yes,adopted,active
413,1,Puppy,Female,Yes,No,rescued,friendly
414,0,Kitten,Female,Not Sure,Not Sure,adopted,active
415,1,Adult,Female,Yes,Yes,rescued,"playful, obedient, obedient"
416,1,Puppy,Female,Yes,Yes,adopted,affectionate
417,1,Puppy,Male,Not Sure,Yes,rescued,"cute, sweet, sweet"
418,0,Adult,Female,Yes,No,rescued,playful
419,1,Adult,Female,Yes,No,adopted,"friendly, loving"
420,0,Kitten,Female,Yes,No,adopted,sweet
421,1,Puppy,Female,Yes,Yes,adopted,"gentle, loving, obedient, loving"
422,1,Puppy,Male,No,No,adopted,"cute, sweet, playful"
423,1,Puppy,Female,Yes,No,adopted,friendly
424,0,Kitten,Male,No,No,adopted,"independent, friendly"
425,0,Adult,Male,No,Yes,adopted,"cute, bright, loving"
426,1,Puppy,Male,Yes,No,adopted,"gentle, obedient, playful"
427,1,Adult,Female,Yes,Not Sure,rescued,friendly
428,1,Puppy,Female,Yes,No,adopted,"friendly, loving"
429,0,Kitten,Female,No,Yes,rescued,"loving, playful"
430,1,Adult,Female,Yes,Yes,adopted,"protective, loving"
431,1,Puppy,Female,Yes,Yes,rescued,"sweet, gentle, obedient, loving, loving, sweet"
432,1,Adult,Female,Yes,Not Sure,adopted,"cute, playful, gentle"
433,1,Puppy,Female,No,No,adopted,"cute, active, independent, sweet"
434,1,Senior,Female,Not Sure,Not Sure,adopted,sweet
435,0,Kitten,Female,No,No,rescued,"affectionate, friendly, playful"
436,1,Adult,Female,Yes,Yes,adopted,friendly
437,0,Kitten,Female,No,No,adopted,"playful, active, cute"
438,1,Puppy,Female,Yes,Yes,adopted,"loyal, friendly"
439,0,Kitten,Female,Not Sure,No,adopted,cute
440,0,Kitten,Male,No,No,adopted,sweet
441,0,Kitten,Male,No,No,adopted,"active, playful"
442,1,Adult,Female,Yes,No,adopted,cute
443,1,Puppy,Female,No,No,adopted,sweet
444,1,Puppy,Male,Yes,No,adopted,"cute, playful, fast"
445,0,Kitten,Female,No,No,rescued,"playful, affectionate"
446,1,Adult,Female,Yes,Yes,adopted,"active, soft, warm, active, active"
447,1,Puppy,Male,No,No,rescued,sweet
448,1,Puppy,Male,Yes,Yes,adopted,"friendly, smart, fast"
449,0,Adult,Male,No,Yes,adopted,"sweet, affectionate, playful, loving"
450,1,Puppy,Male,No,No,rescued,"playful, warm, loyal"
451,0,Adult,Male,Not Sure,No,adopted,"playful, soft"
452,1,Senior,Female,Yes,Yes,rescued,friendly
453,1,Adult,Male,Not Sure,Not Sure,adopted,sweet
454,1,Puppy,Female,Yes,No,adopted,sweet
455,1,Puppy,Female,No,Yes,adopted,"friendly, gentle"
456,1,Adult,Female,Yes,No,adopted,playful
457,0,Kitten,Male,Not Sure,Not Sure,adopted,"active, playful"
458,0,Kitten,Female,Yes,No,rescued,active
459,1,Puppy,Male,Yes,No,rescued,loving
460,0,Kitten,Male,No,No,adopted,playful
461,1,Puppy,Male,Yes,Yes,adopted,energetic
462,0,Adult,Female,Yes,Yes,adopted,loving
463,0,Kitten,Male,No,No,adopted,active
464,1,Adult,Male,Yes,Yes,adopted,"smart, loyal"
465,1,Adult,Female,Yes,No,adopted,"playful, friendly, friendly"
466,0,Kitten,Male,Yes,Yes,adopted,"playful, friendly"
467,0,Kitten,Male,No,No,adopted,playful
468,1,Puppy,Female,No,No,adopted,loyal
469,1,Senior,Female,Not Sure,Not Sure,rescued,warm
470,1,Adult,Female,Not Sure,Not Sure,rescued,"cute, loving, loving"
471,1,Puppy,Female,Yes,No,rescued,"friendly, playful, active"
472,1,Puppy,Female,No,No,adopted,friendly
473,0,Kitten,Male,No,No,adopted,loving
474,0,Kitten,Male,No,No,adopted,"loyal, sweet, active"
475,1,Puppy,Male,Yes,No,adopted,obedient
476,1,Puppy,Female,No,No,adopted,sweet
477,1,Puppy,Female,No,No,adopted,warm
